hotel_name, class_of_rating, rating_score
Cozy Room in New York City,N/A,N/A
Midtown East 1 Cozy Bedroom Apartment,N/A,N/A
The Ideal 3 Bedroom Getaway by Central Park UWS,pleasant,6.8
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,excellent,8.6
Courtyard New York Manhattan/Upper East Side,very good,8.1
Hilton Garden Inn New York Manhattan Midtown East,very good,8.3
DoubleTree by Hilton New York Times Square South,good,7.4
Hotel Five44,good,7.2
The Maxwell,N/A,N/A
Times Square 2 Bedroom Apartment,N/A,N/A
Premium Apartments-Time Square,excellent,8.6
Furnished Quarters at 777 Sixth Avenue,N/A,N/A
New York Marriott Downtown,very good,8.4
Bogart Street,N/A,N/A
Hotel 91,good,7.4
Upper West Side Two-Bedroom,N/A,N/A
Aparthotel Manhattan Residence.20,N/A,N/A
The Paul| an Ascend Hotel Collection Member,good,7.8
The Mansfield Hotel,good,7.3
Renaissance New York Hotel 57,good,7.9
Kimpton Ink48 Hotel,excellent,8.7
Jazz on Columbus Circle Hostel,very good,8.0
NYC Townhouse,N/A,N/A
The Nomad Suites,good,7.4
Executive Class at MTS Hotel,good,7.3
Three-Bedroom Apartment West 25th Street,good,7.1
45th Street Condo #228765,N/A,N/A
Lovely Two Bedroom Apt,pleasant,6.9
The High Line Hotel,very good,8.5
The High Line Hotel,very good,8.5
Aloft Harlem,very good,8.4
Hampton Inn Manhattan-Times Square North,very good,8.2
CITY ROOMS NYC - Soho,very good,8.2
Times Square West Midtown Apartment,good,7.1
Chelsea Inn,good,7.3
Holiday Inn Manhattan 6th Ave - Chelsea,good,7.6
Best Times Square Location Hells Kitchen Midtown West,N/A,N/A
Off SoHo Suites Hotel,very good,8.0
West 17th Street Apartment 2,N/A,N/A
Fantastic 3 Bedrm Apt 135 St,pleasant,6.8
Places4stay United Nations Comfort,N/A,N/A
Greenwich Street Townhouse,N/A,N/A
onefinestay - Tribeca private homes,N/A,N/A
The Carlyle| A Rosewood Hotel,excellent,8.7
The Carlyle| A Rosewood Hotel,excellent,8.7
Central Affordable Three Bedroom Apartment,pleasant,6.8
Hampton Inn Madison Square Garden,excellent,8.6
Casablanca Hotel by Library Hotel Collection,wonderful,9.4
Cozy 1Bed/1Bath Close to Central Park,N/A,N/A
Carlton Arms Hotel,good,7.2
Bridgestreet at Centria,N/A,N/A
Manhattan Studio Apartments,good,7.3
One Bedroom Apartment - Upper East Side,N/A,N/A
Gild Hall - A Thompson Hotel,wonderful,9.0
Manhattan Broadway Hotel,pleasant,6.3
2254 5th Avenue Apartment,N/A,N/A
Embassy Suites By Hilton New York Midtown Manhattan,wonderful,9.2
Full Floor Apt in the Heart of the East Village,N/A,N/A
The Renwick Hotel New York City| Curio Collection by Hilton,excellent,8.6
Sunny Three Bedroom Apartment Lower East Side,good,7.3
6 Columbus - A SIXTY Hotel,good,7.5
Places4stay Times Square Luxury II,N/A,N/A
Places4stay Gramercy Park Comfort II,N/A,N/A
NOVO151,N/A,N/A
Hotel Mulberry,excellent,8.6
Midtown 60th Street Apartment,pleasant,6.7
East Side 3 bed 2 bath (6),good,7.1
Broadway Hotel & Hostel,good,7.2
Hilton Garden Inn New York/Manhattan-Chelsea,very good,8.3
Greenwich Village Apartments,N/A,N/A
Da Vinci Hotel,good,7.6
East Village Properties,good,7.8
Places4stay Little Italy Comfort,N/A,N/A
Hotel Americano,very good,8.2
Places4stay Midtown East Luxury Duplex,N/A,N/A
Artsy 1Bed/1Bath in Prime Lower East Manhattan,N/A,N/A
East Village Lovely Apartment,N/A,N/A
Apartment near Times Square,very good,8.5
W New York,good,7.5
The Smyth,very good,8.5
Centria,N/A,N/A
Apartments at Avenue C,pleasant,6.5
Places4stay Upper West Side Luxury,N/A,N/A
Jenny's Apartments - Upper East Side,wonderful,9.0
Courtyard by Marriott New York Manhattan/Herald Square,very good,8.5
New York One,N/A,N/A
Renovated 3 Bedroom Loft Manhattan #44,very good,8.1
Four Bedroom Apartment - Eldridge St. #38,pleasant,6.9
The Ritz-Carlton New York| Central Park,excellent,8.7
The Ritz-Carlton New York| Central Park,excellent,8.7
Modern Studio Apartment - Midtown East L,N/A,N/A
The Wall Street Inn,excellent,8.6
Lowell Hotel,wonderful,9.1
Beautiful Midtown East 1 Bedroom apartment,N/A,N/A
West Village Penthouse,N/A,N/A
Midtown Times Square Apartment,very good,8.0
Two Bedroom Apartment - Between Park Ave & Lexington Avenue - Midtown East,pleasant,6.6
Studio Plus - One-Bedroom APT,good,7.2
The Greenwich Hotel,wonderful,9.4
Mott Street Apt 3B,N/A,N/A
One Bedroom Apartment in Hell's Kitchen,N/A,N/A
Hotel St. James,good,7.9
The Broome,wonderful,9.2
Midtown West Hotel,pleasant,6.7
Duane Street Hotel Tribeca,excellent,8.7
Courtyard by Marriott New York Manhattan/ Fifth Avenue,good,7.9
Ivy Tower Suites in Times Square,excellent,8.8
The St. Nicolas in Harlem,N/A,N/A
Two Bedroom Apartment - Madison Avenue,good,7.1
Fitzpatrick Grand Central,excellent,8.9
Night Hotel Theater District| Times Square,good,7.9
Charming Studio by Grand Central,N/A,N/A
